year,CO2 [ppm],seasonally adjusted [ppm],fit [ppm],seasonally adjusted fit [ppm],CO2 filled [ppm],seasonally adjusted filled [ppm]
1966.1666666666667,322.39,321.08,322.34,321.01,322.39,321.08
1966.25,323.7,321.33,323.51,321.13,323.7,321.33
1966.3333333333333,324.08,321.21,324.09,321.23,324.08,321.21
1966.4166666666667,323.75,321.58,323.48,321.32,323.75,321.58
1966.5,322.38,321.68,322.08,321.41,322.38,321.68
1966.5833333333333,320.36,321.65,320.16,321.48,320.36,321.65
1966.6666666666667,318.64,321.6,318.58,321.56,318.64,321.6
1966.75,318.1,321.17,318.57,321.62,318.1,321.17
1966.8333333333333,319.78,321.7,319.79,321.69,319.78,321.7
1966.9166666666667,321.03,321.81,320.97,321.75,321.03,321.81
1967.0,322.33,322.3,321.84,321.8,322.33,322.3
1967.0833333333333,322.5,321.86,322.5,321.86,322.5,321.86
1967.1666666666667,323.04,321.72,323.24,321.91,323.04,321.72
1967.25,324.42,322.04,324.36,321.96,324.42,322.04
1967.3333333333333,325.0,322.12,324.9,322.02,325.0,322.12
1967.4166666666667,324.09,321.91,324.24,322.08,324.09,321.91
1967.5,322.54,321.84,322.81,322.14,322.54,321.84
1967.5833333333333,320.92,322.21,320.88,322.21,320.92,322.21
1967.6666666666667,319.25,322.22,319.29,322.28,319.25,322.22
1967.75,319.39,322.47,319.28,322.35,319.39,322.47
1967.8333333333333,320.73,322.65,320.52,322.42,320.73,322.65
1967.9166666666667,321.96,322.75,321.72,322.5,321.96,322.75
1968.0,322.57,322.54,322.62,322.57,322.57,322.54
1968.0833333333333,323.15,322.51,323.3,322.66,323.15,322.51
1968.1666666666667,323.89,322.55,324.1,322.74,323.89,322.55
1968.25,325.02,322.61,325.25,322.83,325.02,322.61
1968.3333333333333,325.57,322.68,325.81,322.93,325.57,322.68
1968.4166666666667,325.36,323.19,325.18,323.03,325.36,323.19
1968.5,324.14,323.46,323.79,323.14,324.14,323.46
1968.5833333333333,322.11,323.43,321.9,323.26,322.11,323.43
1968.6666666666667,320.33,323.32,320.37,323.37,320.33,323.32
1968.75,320.25,323.33,320.42,323.49,320.25,323.33
1968.8333333333333,321.32,323.25,321.71,323.62,321.32,323.25
1968.9166666666667,322.89,323.69,322.97,323.75,322.89,323.69
1969.0,324.0,323.97,323.93,323.89,324.0,323.97
1969.0833333333333,324.42,323.78,324.68,324.03,324.42,323.78
1969.1666666666667,325.63,324.31,325.5,324.16,325.63,324.31
1969.25,326.66,324.27,326.72,324.31,326.66,324.27
1969.3333333333333,327.38,324.48,327.34,324.44,327.38,324.48
1969.4166666666667,326.71,324.51,326.75,324.57,326.71,324.51
1969.5,325.88,325.17,325.37,324.69,325.88,325.17
1969.5833333333333,323.66,324.97,323.47,324.8,323.66,324.97
1969.6666666666667,322.38,325.37,321.9,324.91,322.38,325.37
1969.75,321.78,324.88,321.91,324.99,321.78,324.88
1969.8333333333333,322.85,324.79,323.16,325.08,322.85,324.79
1969.9166666666667,324.12,324.91,324.38,325.16,324.12,324.91
1970.0,325.06,325.03,325.29,325.24,325.06,325.03
1970.0833333333333,325.98,325.34,325.98,325.33,325.98,325.34
1970.1666666666667,326.93,325.6,326.74,325.4,326.93,325.6
1970.25,328.14,325.73,327.9,325.48,328.14,325.73
1970.3333333333333,328.08,325.17,328.46,325.56,328.08,325.17
1970.4166666666667,327.67,325.46,327.82,325.63,327.67,325.46
1970.5,326.34,325.63,326.39,325.7,326.34,325.63
1970.5833333333333,324.69,325.99,324.43,325.77,324.69,325.99
1970.6666666666667,323.1,326.1,322.82,325.84,323.1,326.1
1970.75,323.06,326.17,322.79,325.89,323.06,326.17
1970.8333333333333,324.01,325.95,324.01,325.93,324.01,325.95
1970.9166666666667,325.13,325.93,325.19,325.97,325.13,325.93
1971.0,326.17,326.14,326.05,326.01,326.17,326.14
1971.0833333333333,326.68,326.04,326.7,326.05,326.68,326.04
1971.1666666666667,327.17,325.84,327.44,326.09,327.17,325.84
1971.25,327.79,325.38,328.57,326.14,327.79,325.38
1971.3333333333333,328.92,326.0,329.12,326.2,328.92,326.0
1971.4166666666667,328.57,326.36,328.46,326.26,328.57,326.36
1971.5,327.36,326.65,327.02,326.33,327.36,326.65
1971.5833333333333,325.43,326.74,325.06,326.4,325.43,326.74
1971.6666666666667,323.36,326.37,323.45,326.48,323.36,326.37
1971.75,323.56,326.68,323.44,326.55,323.56,326.68
1971.8333333333333,324.8,326.75,324.69,326.62,324.8,326.75
1971.9166666666667,326.01,326.81,325.92,326.7,326.01,326.81
1972.0,326.77,326.74,326.83,326.79,326.77,326.74
1972.0833333333333,327.63,326.99,327.53,326.88,327.63,326.99
1972.1666666666667,327.75,326.39,328.36,326.98,327.75,326.39
1972.25,329.73,327.28,329.56,327.1,329.73,327.28
1972.3333333333333,330.07,327.14,330.16,327.23,330.07,327.14
1972.4166666666667,329.09,326.89,329.56,327.38,329.09,326.89
1972.5,328.04,327.35,328.2,327.54,328.04,327.35
1972.5833333333333,326.32,327.67,326.34,327.72,326.32,327.67
1972.6666666666667,324.84,327.87,324.87,327.91,324.84,327.87
1972.75,325.2,328.32,325.0,328.11,325.2,328.32
1972.8333333333333,326.5,328.45,326.38,328.31,326.5,328.45
1972.9166666666667,327.55,328.36,327.73,328.51,327.55,328.36
1973.0,328.55,328.52,328.76,328.72,328.55,328.52
1973.0833333333333,329.56,328.91,329.58,328.93,329.56,328.91
1973.1666666666667,330.3,328.96,330.47,329.11,330.3,328.96
1973.25,331.5,329.07,331.75,329.3,331.5,329.07
1973.3333333333333,332.48,329.54,332.42,329.48,332.48,329.54
1973.4166666666667,332.07,329.84,331.85,329.64,332.07,329.84
1973.5,330.87,330.15,330.46,329.77,330.87,330.15
1973.5833333333333,329.31,330.63,328.52,329.88,329.31,330.63
1973.6666666666667,327.51,330.54,326.91,329.96,327.51,330.54
1973.75,327.18,330.32,326.88,330.01,327.18,330.32
1973.8333333333333,328.16,330.13,328.1,330.05,328.16,330.13
1973.9166666666667,328.64,329.45,329.28,330.07,328.64,329.45
1974.0,329.35,329.32,330.14,330.09,329.35,329.32
1974.0833333333333,330.71,330.06,330.78,330.12,330.71,330.06
1974.1666666666667,331.48,330.13,331.51,330.15,331.48,330.13
1974.25,332.65,330.21,332.64,330.18,332.65,330.21
1974.3333333333333,333.09,330.14,333.17,330.22,333.09,330.14
1974.4166666666667,332.25,330.01,332.48,330.27,332.25,330.01
1974.5,331.18,330.46,331.0,330.31,331.18,330.46
1974.5833333333333,329.39,330.72,329.0,330.36,329.39,330.72
1974.6666666666667,327.43,330.47,327.36,330.41,327.43,330.47
1974.75,327.37,330.52,327.33,330.47,327.37,330.52
1974.8333333333333,328.46,330.43,328.57,330.52,328.46,330.43
1974.9166666666667,329.57,330.38,329.79,330.59,329.57,330.38
1975.0,330.4,330.37,330.7,330.66,330.4,330.37
1975.0833333333333,331.4,330.75,331.4,330.74,331.4,330.75
1975.1666666666667,332.04,330.69,332.19,330.82,332.04,330.69
1975.25,333.31,330.86,333.37,330.91,333.31,330.86
1975.3333333333333,333.97,331.01,333.97,331.01,333.97,331.01
1975.4166666666667,333.6,331.36,333.33,331.11,333.6,331.36
1975.5,331.9,331.18,331.89,331.2,331.9,331.18
1975.5833333333333,330.06,331.39,329.93,331.3,330.06,331.39
1975.6666666666667,328.56,331.61,328.32,331.39,328.56,331.61
1975.75,328.34,331.5,328.32,331.47,328.34,331.5
1975.8333333333333,329.49,331.47,329.6,331.56,329.49,331.47
1975.9166666666667,330.76,331.58,330.84,331.64,330.76,331.58
1976.0,331.75,331.72,331.76,331.72,331.75,331.72
1976.0833333333333,332.56,331.91,332.46,331.8,332.56,331.91
1976.1666666666667,333.5,332.11,333.27,331.88,333.5,332.11
1976.25,334.58,332.11,334.45,331.95,334.58,332.11
1976.3333333333333,334.88,331.91,335.0,332.03,334.88,331.91
1976.4166666666667,334.33,332.11,334.32,332.11,334.33,332.11
1976.5,333.05,332.35,332.87,332.2,333.05,332.35
1976.5833333333333,330.94,332.3,330.9,332.29,330.94,332.3
1976.6666666666667,329.3,332.38,329.31,332.4,329.3,332.38
1976.75,328.94,332.11,329.35,332.51,328.94,332.11
1976.8333333333333,330.31,332.29,330.68,332.64,330.31,332.29
1976.9166666666667,331.68,332.5,331.98,332.78,331.68,332.5
1977.0,332.93,332.89,332.98,332.94,332.93,332.89
1977.0833333333333,333.42,332.76,333.78,333.11,333.42,332.76
1977.1666666666667,334.7,333.34,334.65,333.27,334.7,333.34
1977.25,336.07,333.61,335.94,333.46,336.07,333.61
1977.3333333333333,336.75,333.77,336.62,333.64,336.75,333.77
1977.4166666666667,336.27,334.01,336.06,333.82,336.27,334.01
1977.5,334.92,334.19,334.69,333.99,334.92,334.19
1977.5833333333333,332.75,334.09,332.78,334.15,332.75,334.09
1977.6666666666667,331.59,334.66,331.22,334.31,331.59,334.66
1977.75,331.16,334.34,331.29,334.46,331.16,334.34
1977.8333333333333,332.4,334.4,332.63,334.6,332.4,334.4
1977.9166666666667,333.85,334.67,333.94,334.74,333.85,334.67
1978.0,334.97,334.94,334.92,334.88,334.97,334.94
1978.0833333333333,335.38,334.73,335.68,335.01,335.38,334.73
1978.1666666666667,336.64,335.27,336.51,335.13,336.64,335.27
1978.25,337.76,335.29,337.74,335.26,337.76,335.29
1978.3333333333333,338.01,335.02,338.37,335.38,338.01,335.02
1978.4166666666667,337.89,335.63,337.74,335.49,337.89,335.63
1978.5,336.54,335.81,336.3,335.6,336.54,335.81
1978.5833333333333,334.68,336.03,334.32,335.7,334.68,336.03
1978.6666666666667,332.76,335.84,332.7,335.8,332.76,335.84
1978.75,332.55,335.74,332.71,335.89,332.55,335.74
1978.8333333333333,333.92,335.92,334.01,335.99,333.92,335.92
1978.9166666666667,334.95,335.77,335.29,336.09,334.95,335.77
1979.0,336.23,336.2,336.24,336.2,336.23,336.2
1979.0833333333333,336.76,336.1,336.98,336.31,336.76,336.1
1979.1666666666667,337.96,336.59,337.8,336.42,337.96,336.59
1979.25,338.88,336.41,339.04,336.54,338.88,336.41
1979.3333333333333,339.47,336.47,339.67,336.67,339.47,336.47
1979.4166666666667,339.29,337.01,339.06,336.81,339.29,337.01
1979.5,337.73,337.0,337.64,336.94,337.73,337.0
1979.5833333333333,336.09,337.44,335.7,337.08,336.09,337.44
1979.6666666666667,333.92,337.01,334.12,337.23,333.92,337.01
1979.75,333.86,337.07,334.18,337.37,333.86,337.07
1979.8333333333333,335.29,337.3,335.54,337.53,335.29,337.3
1979.9166666666667,336.73,337.55,336.88,337.69,336.73,337.55
1980.0,338.01,337.98,337.89,337.85,338.01,337.98
1980.0833333333333,338.36,337.7,338.69,338.02,338.36,337.7
1980.1666666666667,340.07,338.67,339.59,338.18,340.07,338.67
1980.25,340.77,338.26,340.86,338.34,340.77,338.26
1980.3333333333333,341.47,338.46,341.49,338.49,341.47,338.46
1980.4166666666667,341.17,338.91,340.87,338.63,341.17,338.91
1980.5,339.56,338.85,339.44,338.77,339.56,338.85
1980.5833333333333,337.6,338.98,337.48,338.9,337.6,338.98
1980.6666666666667,335.88,338.99,335.89,339.02,335.88,338.99
1980.75,336.02,339.23,335.93,339.13,336.02,339.23
1980.8333333333333,337.1,339.11,337.26,339.24,337.1,339.11
1980.9166666666667,338.21,339.04,338.54,339.34,338.21,339.04
1981.0,339.24,339.2,339.49,339.45,339.24,339.2
1981.0833333333333,340.48,339.81,340.22,339.55,340.48,339.81
1981.1666666666667,341.38,340.0,341.03,339.64,341.38,340.0
1981.25,342.51,340.01,342.24,339.73,342.51,340.01
1981.3333333333333,342.91,339.89,342.83,339.81,342.91,339.89
1981.4166666666667,342.25,339.96,342.17,339.9,342.25,339.96
1981.5,340.49,339.75,340.69,339.98,340.49,339.75
1981.5833333333333,338.43,339.79,338.68,340.07,338.43,339.79
1981.6666666666667,336.69,339.81,337.04,340.17,336.69,339.81
1981.75,336.86,340.08,337.05,340.27,336.86,340.08
1981.8333333333333,338.36,340.38,338.38,340.38,338.36,340.38
1981.9166666666667,339.61,340.44,339.67,340.49,339.61,340.44
1982.0,340.75,340.72,340.64,340.6,340.75,340.72
1982.0833333333333,341.61,340.95,341.38,340.7,341.61,340.95
1982.1666666666667,342.7,341.32,342.19,340.79,342.7,341.32
1982.25,343.57,341.06,343.4,340.88,343.57,341.06
1982.3333333333333,344.14,341.11,343.99,340.96,344.14,341.11
1982.4166666666667,343.35,341.05,343.32,341.04,343.35,341.05
1982.5,342.06,341.32,341.83,341.12,342.06,341.32
1982.5833333333333,339.81,341.17,339.8,341.2,339.81,341.17
1982.6666666666667,337.98,341.1,338.15,341.29,337.98,341.1
1982.75,337.86,341.1,338.16,341.38,337.86,341.1
1982.8333333333333,339.26,341.29,339.49,341.5,339.26,341.29
1982.9166666666667,340.49,341.32,340.82,341.63,340.49,341.32
1983.0,341.38,341.34,341.83,341.78,341.38,341.34
1983.0833333333333,342.52,341.85,342.63,341.95,342.52,341.85
1983.1666666666667,343.1,341.71,343.52,342.12,343.1,341.71
1983.25,344.94,342.43,344.84,342.31,344.94,342.43
1983.3333333333333,345.76,342.72,345.54,342.5,345.76,342.72
1983.4166666666667,345.32,343.01,344.97,342.69,345.32,343.01
1983.5,343.98,343.24,343.58,342.86,343.98,343.24
1983.5833333333333,342.38,343.75,341.63,343.03,342.38,343.75
1983.6666666666667,339.87,343.0,340.04,343.19,339.87,343.0
1983.75,339.99,343.24,340.11,343.34,339.99,343.24
1983.8333333333333,341.15,343.19,341.48,343.49,341.15,343.19
1983.9166666666667,342.99,343.83,342.81,343.63,342.99,343.83
1984.0,343.7,343.67,343.81,343.76,343.7,343.67
1984.0833333333333,344.5,343.84,344.58,343.9,344.5,343.84
1984.1666666666667,345.28,343.86,345.45,344.02,345.28,343.86
1984.25,347.06,344.52,346.71,344.15,347.06,344.52
1984.3333333333333,347.43,344.38,347.32,344.27,347.43,344.38
1984.4166666666667,346.8,344.51,346.66,344.39,346.8,344.51
1984.5,345.39,344.68,345.19,344.51,345.39,344.68
1984.5833333333333,343.28,344.68,343.19,344.63,343.28,344.68
1984.6666666666667,341.07,344.23,341.57,344.75,341.07,344.23
1984.75,341.35,344.6,341.63,344.87,341.35,344.6
1984.8333333333333,342.98,345.01,342.98,345.0,342.98,345.01
1984.9166666666667,344.22,345.06,344.31,345.12,344.22,345.06
1985.0,344.97,344.94,345.3,345.26,344.97,344.94
1985.0833333333333,345.99,345.32,346.07,345.39,345.99,345.32
1985.1666666666667,347.42,346.03,346.92,345.51,347.42,346.03
1985.25,348.35,345.82,348.17,345.63,348.35,345.82
1985.3333333333333,348.93,345.87,348.79,345.73,348.93,345.87
1985.4166666666667,348.25,345.93,348.13,345.84,348.25,345.93
1985.5,346.56,345.81,346.65,345.93,346.56,345.81
1985.5833333333333,344.67,346.05,344.61,346.02,344.67,346.05
1985.6666666666667,343.09,346.24,342.94,346.11,343.09,346.24
1985.75,342.8,346.07,342.94,346.19,342.8,346.07
1985.8333333333333,344.24,346.29,344.26,346.29,344.24,346.29
1985.9166666666667,345.56,346.39,345.55,346.38,345.56,346.39
1986.0,346.3,346.26,346.52,346.48,346.3,346.26
1986.0833333333333,346.95,346.28,347.27,346.59,346.95,346.28
1986.1666666666667,347.85,346.45,348.11,346.69,347.85,346.45
1986.25,349.55,347.02,349.37,346.81,349.55,347.02
1986.3333333333333,350.21,347.14,350.01,346.94,350.21,347.14
1986.4166666666667,349.55,347.22,349.37,347.06,349.55,347.22
1986.5,347.94,347.19,347.91,347.19,347.94,347.19
1986.5833333333333,345.9,347.28,345.9,347.32,345.9,347.28
1986.6666666666667,344.85,348.02,344.26,347.44,344.85,348.02
1986.75,344.17,347.45,344.3,347.57,344.17,347.45
1986.8333333333333,345.66,347.71,345.67,347.7,345.66,347.71
1986.9166666666667,346.9,347.74,347.01,347.83,346.9,347.74
1987.0,348.02,347.99,348.02,347.98,348.02,347.99
1987.0833333333333,348.48,347.8,348.83,348.14,348.48,347.8
1987.1666666666667,349.42,348.01,349.71,348.29,349.42,348.01
1987.25,350.99,348.44,351.04,348.47,350.99,348.44
1987.3333333333333,351.85,348.76,351.74,348.66,351.85,348.76
1987.4166666666667,351.26,348.92,351.18,348.86,351.26,348.92
1987.5,349.51,348.76,349.79,349.07,349.51,348.76
1987.5833333333333,348.1,349.48,347.86,349.28,348.1,349.48
1987.6666666666667,346.45,349.62,346.31,349.51,346.45,349.62
1987.75,346.36,349.65,346.44,349.72,346.36,349.65
1987.8333333333333,347.81,349.87,347.91,349.95,347.81,349.87
1987.9166666666667,348.96,349.81,349.34,350.17,348.96,349.81
1988.0,350.43,350.4,350.44,350.39,350.43,350.4
1988.0833333333333,351.73,351.05,351.3,350.62,351.73,351.05
1988.1666666666667,352.22,350.78,352.27,350.82,352.22,350.78
1988.25,353.59,351.01,353.62,351.02,353.59,351.01
1988.3333333333333,354.22,351.13,354.3,351.22,354.22,351.13
1988.4166666666667,353.79,351.48,353.7,351.4,353.79,351.48
1988.5,352.38,351.65,352.27,351.58,352.38,351.65
1988.5833333333333,350.43,351.85,350.29,351.74,350.43,351.85
1988.6666666666667,348.73,351.92,348.68,351.89,348.73,351.92
1988.75,348.88,352.18,348.75,352.03,348.88,352.18
1988.8333333333333,350.07,352.13,350.12,352.16,350.07,352.13
1988.9166666666667,351.34,352.19,351.45,352.28,351.34,352.19
1989.0,352.76,352.73,352.44,352.39,352.76,352.73
1989.0833333333333,353.07,352.39,353.19,352.5,353.07,352.39
1989.1666666666667,353.68,352.26,354.03,352.6,353.68,352.26
1989.25,355.42,352.86,355.28,352.7,355.42,352.86
1989.3333333333333,355.67,352.57,355.9,352.8,355.67,352.57
1989.4166666666667,355.12,352.77,355.22,352.89,355.12,352.77
1989.5,353.9,353.14,353.72,352.99,353.9,353.14
1989.5833333333333,351.67,353.06,351.66,353.09,351.67,353.06
1989.6666666666667,349.8,353.0,349.97,353.18,349.8,353.0
1989.75,349.99,353.3,349.98,353.28,349.99,353.3
1989.8333333333333,351.3,353.37,351.33,353.38,351.3,353.37
1989.9166666666667,352.52,353.38,352.65,353.48,352.52,353.38
1990.0,353.66,353.63,353.63,353.58,353.66,353.63
1990.0833333333333,354.7,354.02,354.38,353.69,354.7,354.02
1990.1666666666667,355.38,353.96,355.21,353.78,355.38,353.96
1990.25,356.2,353.63,356.47,353.88,356.2,353.63
1990.3333333333333,357.16,354.05,357.1,353.99,357.16,354.05
1990.4166666666667,356.23,353.87,356.44,354.1,356.23,353.87
1990.5,354.81,354.06,354.95,354.22,354.81,354.06
1990.5833333333333,352.91,354.31,352.91,354.35,352.91,354.31
1990.6666666666667,350.96,354.17,351.27,354.49,350.96,354.17
1990.75,351.18,354.5,351.32,354.63,351.18,354.5
1990.8333333333333,352.83,354.91,352.73,354.78,352.83,354.91
1990.9166666666667,354.21,355.06,354.09,354.93,354.21,355.06
1991.0,354.72,354.69,355.12,355.08,354.72,354.69
1991.0833333333333,355.75,355.06,355.91,355.22,355.75,355.06
1991.1666666666667,357.16,355.73,356.78,355.34,357.16,355.73
1991.25,358.6,356.02,358.04,355.45,358.6,356.02
1991.3333333333333,359.34,356.21,358.66,355.54,359.34,356.21
1991.4166666666667,358.24,355.88,357.97,355.62,358.24,355.88
1991.5,356.17,355.41,356.42,355.69,356.17,355.41
1991.5833333333333,354.02,355.42,354.31,355.75,354.02,355.42
1991.6666666666667,352.15,355.37,352.57,355.8,352.15,355.37
1991.75,352.21,355.55,352.54,355.86,352.21,355.55
1991.8333333333333,353.75,355.84,353.87,355.93,353.75,355.84
1991.9166666666667,354.99,355.85,355.16,356.0,354.99,355.85
1992.0,355.99,355.95,356.11,356.07,355.99,355.95
1992.0833333333333,356.72,356.04,356.83,356.14,356.72,356.04
1992.1666666666667,357.81,356.35,357.67,356.2,357.81,356.35
1992.25,359.15,356.54,358.89,356.26,359.15,356.54
1992.3333333333333,359.66,356.53,359.44,356.32,359.66,356.53
1992.4166666666667,359.25,356.9,358.69,356.36,359.25,356.9
1992.5,357.02,356.29,357.1,356.4,357.02,356.29
1992.5833333333333,355.0,356.44,354.96,356.43,355.0,356.44
1992.6666666666667,353.01,356.25,353.21,356.46,353.01,356.25
1992.75,353.31,356.65,353.17,356.49,353.31,356.65
1992.8333333333333,354.16,356.25,354.47,356.53,354.16,356.25
1992.9166666666667,355.4,356.26,355.74,356.58,355.4,356.26
1993.0,356.7,356.67,356.67,356.63,356.7,356.67
1993.0833333333333,357.17,356.47,357.39,356.69,357.17,356.47
1993.1666666666667,358.38,356.94,358.2,356.75,358.38,356.94
1993.25,359.46,356.87,359.44,356.83,359.46,356.87
1993.3333333333333,360.28,357.14,360.05,356.91,360.28,357.14
1993.4166666666667,359.6,357.21,359.36,357.0,359.6,357.21
1993.5,357.57,356.8,357.83,357.09,357.57,356.8
1993.5833333333333,355.52,356.93,355.76,357.21,355.52,356.93
1993.6666666666667,353.69,356.93,354.08,357.33,353.69,356.93
1993.75,353.99,357.34,354.13,357.47,353.99,357.34
1993.8333333333333,355.34,357.44,355.54,357.62,355.34,357.44
1993.9166666666667,356.8,357.66,356.93,357.78,356.8,357.66
1994.0,358.37,358.33,357.99,357.95,358.37,358.33
1994.0833333333333,358.91,358.22,358.82,358.11,358.91,358.22
1994.1666666666667,359.97,358.53,359.72,358.27,359.97,358.53
1994.25,361.26,358.66,361.05,358.43,361.26,358.66
